titre,entreprise,localisation,type_contrat,lien,adequation,confiance,notes
Data Analyst Junior (Remote or Onsite),Free2Move,Paris + teletravail Europe,CDI junior,https://jobs.smartrecruiters.com/Free2move/743999747195496-data-analyst-junior-remote-or-onsite-,Moyenne,verifie (ouverte),SQL/Python/PowerBI/Tableau/ETL mais exige Bac+5 data (peut bloquer reconversion)
Alternance Data Analyst Bac+4-5,Sup de Vinci,Rennes (35),Apprentissage 2 ans,,Bonne (si alternance),verifie (listee HelloWork),A ouvrir pour details/contrat
Apprenti Analyste Base de Donnees,Service infrastructure Defense,Crozon (29),Alternance,,Moyenne,verifie (listee),A ouvrir
Data Analyst,Harmonie Mutuelle,Rennes (35),CDD 12 mois TT partiel,,Moyenne,verifie (listee),Junior non precise
Data Analyst Senior,DGTL Performance,Vannes (56),CDI,,Faible (senior),verifie (listee),Proche Lorient mais senior
Senior Data Analyst,Seyos,Cesson-Sevigne (35),CDI TT partiel,,Faible (senior),verifie,
Data Engineer ETL Talend,Capolea,Brest (29),CDI,,Faible (technique senior),verifie,
Ingenieur Data BI,Gouters Magiques,Plumelin (56500),CDI,,A evaluer,verifie (listee Indeed),BI en Morbihan proche Lorient/Vannes - a prioriser en verif
Analyste de Donnees Precliniques,Biotrial,Rennes (35),CDD 6 mois,,Faible (niche pharma),verifie (listee),
Alternance Ingenieur Data Scientist,Naval Group,Lorient (56),Apprentissage debut 07/09/2026,,Bonne (junior/Lorient),verifie (listee Indeed),Profil ingenieur ; local ; bon signal ecosysteme
Business Analyst Data (banque),EterniTech,Vannes,Freelance,,Faible (reconversion salariee),verifie,
Alternance Data Analyst Power BI,Actiale,Rentree sept. 2026,Alternance,,A evaluer,A CONFIRMER (page non ouverte),Ne pas citer comme certain - revrifier URL/ouverture
No Code / AI Automation Engineer (n8n Make Zapier),Stockly,Paris,CDI,https://www.welcometothejungle.com/en/companies/stockly/jobs/no-code-ai-automation-engineer_paris,Tres bonne (stack) mais Paris,A CONFIRMER (non fetche),Stack ideale n8n/Make/IA ; localisation Paris ; verifier remote
