dispositif,rail,ce_que_c_est,qui_finance,condition_cle,qualiopi_requis,url,comment_s_en_servir,confiance
Qualiopi,prerequis formation,Certification qualite obligatoire (RNQ 7 criteres/32 indicateurs) pour etre finance par fonds publics/mutualises,Certificateurs accredites (AFNOR/Certifopac...),Audit initial + surveillance + renouvellement (validite 3 ans),n/a,https://certifopac.fr/qualiopi/,Porte d'entree du rail formation ; sans elle aucun OPCO ne finance. Alternative: portage par un OF certifie pour vendre tout de suite,verifie (cout 1000-3000E et delai 3-6 mois a confirmer)
OPCO 2i,formation,OPCO interindustriel (metallurgie/naval/nautique/plasturgie-composites/chimie),OPCO 2i (cotisations branches),Entreprise relevant d'une branche industrie (IDCC/NAF),oui,https://www.opco2i.fr/,LE financeur cible pour Lorient (naval/composite/metal). Relier l'offre a 'industrie 4.0/transition numerique' = axe prioritaire,verifie
OCAPIAT,formation,OPCO agro/agriculture/peche/agroalimentaire (~192000 entreprises 98% TPE),OCAPIAT,Entreprise agro/peche,oui,https://www.ocapiat.fr/,OPCO pour cibles agro/agroalimentaire du Morbihan (Cite Marine etc.),verifie
FNE-Formation,formation,Dispositif Etat cofinance instruit par les OPCO pour entreprises en mutation (transition numerique/ecologique),Etat via OPCO,Projet relevant transition numerique/ecologique,oui (via OF),https://www.francenum.gouv.fr/aides-financieres/guides-et-conseils-financiers/comment-financer-la-formation-au-numerique-de-vos,MEILLEUR rail pour no-code/IA : 'transition numerique' explicitement financee. Croiser avec OPCO 2i,verifie (enveloppe/taux 2026 a confirmer)
CPF,formation individuelle,Compte personnel de formation (droits individuels salarie/dirigeant),Caisse des Depots,Formation certifiante RNCP ou RS France Competences + OF habilite,oui,https://www.moncompteformation.gouv.fr,Exigeant (certif requise). Rarement le bon rail au depart pour intra sur-mesure ; viser OPCO/FNE d'abord,verifie (plafond RS 1500E a confirmer)
Plan de developpement des competences,formation,Cadre employeur des actions de formation des salaries (art L.6321-1),Employeur + remboursement OPCO (surtout <50 sal.),Actions d'adaptation/maintien dans l'emploi,oui (pour finct OPCO),https://open.lefebvre-dalloz.fr/droit-social/formation-professionnelle/plan-developpement-competences_x5546,Cadre dans lequel le client inscrit tes formations et l'OPCO rembourse,verifie
France Travail POEI,formation avant embauche,Preparation Operationnelle a l'Emploi Individuelle (forme un candidat avant embauche jusqu'a ~400h),France Travail,Promesse d'embauche + ecart de competences,oui (OF),https://pro.francetravail.fr/accueil/description/poei,Pertinent quand un prospect recrute (industrie en tension Lorient) : tu formes le futur salarie,verifie (AFPR/POEI 2026 a confirmer)
Transitions Pro Bretagne (PTP),formation reconversion,Projet de Transition Professionnelle (ex-CIF) : salarie change de metier remuneration maintenue,Transitions Pro Bretagne,Formation certifiante RNCP/RS + dossier >=3 mois avant,oui,https://www.transitionspro-bretagne.fr/,Rail individuel reconversion (pas B2B principal). Utile si parcours certifiant vers metiers data/auto,verifie
Region Bretagne - Pass Transitions,conseil,Soutien transitions (dont numerique) PME <50 sal. ; volets Investissement/Conseil/RH,Region Bretagne,PME <50 salaries,non,https://les-aides.fr/aide/cjOf3w/region-bretagne/pass-tansitions.html,Le volet CONSEIL peut financer TA prestation d'accompagnement (~50% depenses),a confirmer (montants/ouverture 2026)
Region Bretagne - Inno Conseil,conseil,Aide au recours a expertise externe innovation,Region Bretagne,Entreprise <50 sal.,non,https://www.bretagne.bzh/aides/,Finance jusqu'a ~80% (plafond ~15000E) une mission conseil innovation,a confirmer
Region Bretagne - QUALIF Emploi,formation demandeur emploi,Qualification demandeurs d'emploi vers metiers qui recrutent (Numerique inclus),Region Bretagne,Demandeur d'emploi,oui (OF),https://www.bretagne.bzh/aides/fiches/qualif-emploi/,Former des demandeurs d'emploi en amont d'un recrutement chez un client (~3000E individuel),a confirmer
France Num - Activateur,label/conseil,Reseau d'experts numeriques references par l'Etat pour accompagner TPE/PME,Etat (label gratuit apparent),>6 mois d'activite + references pro,non,https://www.francenum.gouv.fr/experts-du-numerique/experts-du-numerique-rejoignez-le-reseau-des-activateurs-france-num,PRIORITE HAUTE : badge credibilite Etat + leads entrants geolocalises Morbihan. A faire tot (pas de Qualiopi requis),verifie (conditions exactes a confirmer - page JS)
Bpifrance Diag Data IA,conseil,Accompagnement expert (~8j/<=3 mois) pour identifier cas d'usage IA/data,Bpifrance (subvention ~40%),PME/ETI 10-2000 sal. CA >=~1M€,non,https://diag.bpifrance.fr/diag-data-ia,Option prescripteur (orienter prospect puis vendre le deploiement) ou devenir expert reference,a confirmer (chiffres 2026 - page JS)
NDA (declaration d'activite),prerequis formation,Numero de declaration d'activite d'organisme de formation aupres de la DREETS,DREETS Bretagne,Premiere convention de formation signee,n/a,https://www.francenum.gouv.fr,Prerequis administratif AVANT Qualiopi. La vente Compositic peut le declencher,a confirmer (procedure/URL DREETS exacte)
Outil recherche OPCO,outil,Identifier l'OPCO d'une entreprise par code APE/IDCC,France Competences,-,n/a,https://www.opco.fr/,Trouver le bon OPCO d'un prospect avant de construire l'offre financee,verifie
