nom,ville_zone,secteur,site_web,statut_site,signal_detecte,interet_data_ia,adequation_junior,confiance,a_enrichir
CDK Technologies,Lorient (Keroman),Composite naval haute perf (IMOCA/ULTIM/foils/mats),cdk-technologies.com,verifie,"8,5 M€ investis a Lorient pour doubler la capacite ; rachat batiments AML ; Lorient Composite Valley",Planification/ordonnancement montee en cadence sur-mesure ; suivi qualite (CND assiste) ; tracabilite cuissons/moules ; MES,Bonne (PME industrielle en croissance),verifie (montant a redater),Effectif/CA recents ; contact resp. industriel ; maturite ERP/MES
Avel Robotics,Lorient (Keroman),Fabrication automatisee composite carbone (AFP),avelrobotics.com,verifie,"2e robot ; digitalisation complete du process ; membre Solid Sail Mast Factory",Analyse continue de production ; vision qualite ; maintenance predictive robots ; continuite numerique 3D->fab,Tres bonne (cible mure),verifie,Contact decideur data ; projets IA en cours ; volume donnees machine
Coriolis Composites,Queven (56),Cellules robotisees + logiciels placement fibre (AFP),coriolis-composites.com,verifie,"~200 robots deployes mondialement ; fournisseur Avel ; machine pour mats geants Lanester",Jumeaux numeriques ; optimisation trajectoires ; exploitation data des 200 robots,Moyenne (editeur deja data-mature),verifie,Equipe data interne ? besoins externalises ?
Kership (JV Naval Group/Piriou),Concarneau + Lorient,Construction navires militaires,kership.com,verifie,"Carnet Defense en hausse ; portes ouvertes recrutement fev. 2026",Gestion documentaire technique ; automatisation reporting ; suivi de configuration ; QA,Moyenne (JV grand compte),verifie,Interlocuteur sous-traitance ; SI en place
Piriou,Concarneau + Lorient,Construction/reparation navale acier-alu,piriou.com,verifie,"1400 salaries ; 350 M€ CA (2024) ; Defense 66% ; 1er chantier indep. FR",Consolidation data multi-sites ; planification ; achats ; maintenance flotte,Faible-moyenne (grand),verifie,Point d'entree PME sous-traitantes plutot que direct
Naval Group (site Lorient),Lanester/Lorient,Construction navires de surface (defense),naval-group.com,a confirmer,"Donneur d'ordre majeur ; ~4450 emplois naval-reparation Lorient-Quimperle",Aimant : ses sous-traitants PME sont les vraies cibles junior,Faible en direct,a confirmer,Cartographier sous-traitants ; alternance data (offre vue Naval Group)
Lorima,Lorient (La Base),Mats carbone composites (course au large),,a confirmer,"Portes ouvertes recrutement fev. 2026 ; consortium Solid Sail",Automatisation devis/ERP ; suivi production sur-mesure,Bonne (PME),verifie (signal),Site officiel ; effectif ; SI
Multiplast,Vannes,Structures composites course au large,multiplast.eu,verifie,"Lorient Composite Valley ; projet transport maritime decarbone",Planification ; chiffrage ; tracabilite materiaux,Bonne (PME),verifie,Contact ; maturite data
Marsaudon Composites (ORC),La Trinite-sur-Mer (56),Coques composites / catamarans,,a confirmer,"Cite parmi TPE/PME composites du Morbihan",Automatisation devis ; CRM ; suivi atelier,Bonne (TPE),a confirmer,Verifier existence/site/effectif
Grand Large Yachting,Lorient La Base,Nautisme / voiliers de croisiere,,a confirmer,"Portes ouvertes recrutement fev. 2026",Consolidation data commerciales ; config produit ; ADV,Bonne (groupe multi-marques),verifie (signal),Site ; marques ; SI commercial
Fonderie de Bretagne (FDB),Caudan (Kerpont),Fonderie fonte / pieces auto,fonderiedebretagne.com,verifie,"~266 salaries ; repreneur Europlasma ; issue judiciaire redressement/liquidation",A surveiller SEULEMENT si activite repart,A ecarter tant que statut incertain,verifie (statut a redater),Verifier issue judiciaire avant tout demarchage
Polyform Concept Metal,Pays de Lorient,Conception/fab pieces & structures acier/inox/alu,,a confirmer,"Investit et recrute via Rebond Industriel (enveloppe 1,5 M€)",Chiffrage automatise ; GPAO ; suivi atelier ; devis assistes,Tres bonne (PME en invest.),verifie (signal),Site ; effectif ; contact dirigeant
Kerpont Rotomoulage,Lanester (Kerpont),Plasturgie / rotomoulage,,a confirmer,"Portes ouvertes recrutement fev. 2026",Planification production ; suivi qualite ; maintenance,Bonne (PME),verifie (signal),Site ; effectif ; SI
